0,1,2,3
"3.4,0.84,0.51","3.7,0.87,0.63","4.0,0.75,0.49","3.1,0.73,0.54"
"2.0,0.75,0.66","1.7,0.86,0.68","2.1,0.84,0.75","3.1,0.87,0.79"
"2.8,0.79,0.65","1.9,0.79,0.52","3.9,0.89,0.47","2.1,0.71,0.54"
"3.6,0.74,0.7","3.2,0.74,0.79","2.9,0.74,0.61","1.8,0.75,0.76"
"2.7,0.73,0.67","2.3,0.84,0.68","2.4,0.71,0.58","1.3,0.8,0.8"
"3.5,0.86,0.75","3.3,0.73,0.7","3.6,0.71,0.67","2.8,0.81,0.7"
"2.0,0.7,0.73","1.7,0.72,0.46","3.3,0.7,0.7","2.2,0.82,0.55"
"2.8,0.8,0.67","2.0,0.72,0.62","2.0,0.82,0.54","3.1,0.82,0.47"
"2.9,0.8,0.67","4.0,0.79,0.62","1.5,0.9,0.55","1.4,0.82,0.48"
"2.3,0.88,0.49","3.5,0.78,0.59","1.5,0.83,0.52","3.4,0.76,0.72"
"2.3,0.84,0.69","1.5,0.72,0.69","1.8,0.89,0.69","2.2,0.75,0.61"
"1.7,0.85,0.5","2.6,0.75,0.7","4.0,0.75,0.47","1.1,0.78,0.53"
"2.3,0.74,0.48","3.9,0.81,0.74","1.8,0.88,0.65","2.4,0.85,0.48"
"2.6,0.86,0.53","3.8,0.73,0.59","3.5,0.74,0.62","1.5,0.73,0.75"
"2.5,0.8,0.53","3.8,0.73,0.6","2.8,0.84,0.61","3.2,0.75,0.58"
"1.5,0.76,0.59","1.4,0.88,0.58","2.0,0.78,0.58","1.9,0.79,0.69"
"1.2,0.83,0.79","1.4,0.75,0.45","3.9,0.89,0.59","3.4,0.89,0.79"
"1.1,0.73,0.67","1.5,0.88,0.63","2.6,0.9,0.79","2.4,0.87,0.48"
"3.5,0.86,0.7","2.3,0.73,0.47","2.0,0.76,0.78","2.2,0.79,0.67"
"3.8,0.85,0.77","2.5,0.82,0.79","2.1,0.81,0.59","2.3,0.8,0.64"
"3.2,0.79,0.75","3.8,0.79,0.7","1.7,0.77,0.62","2.7,0.73,0.74"
"1.1,0.79,0.52","3.8,0.78,0.5","1.7,0.71,0.7","1.3,0.79,0.56"
"3.3,0.73,0.77","1.5,0.71,0.56","1.9,0.82,0.62","2.6,0.79,0.6"
"1.0,0.81,0.49","3.9,0.8,0.49","2.7,0.87,0.49","3.0,0.84,0.72"
"3.4,0.88,0.75","2.4,0.79,0.73","2.2,0.84,0.6","3.3,0.83,0.68"
"1.3,0.8,0.72","1.2,0.87,0.69","3.1,0.78,0.8","1.2,0.79,0.74"
"2.9,0.81,0.72","1.1,0.8,0.78","3.3,0.76,0.45","1.2,0.82,0.69"
"3.8,0.81,0.66","1.1,0.79,0.49","3.9,0.84,0.65","1.5,0.86,0.6"
