sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
25113,0.83,0.67,36037,0.89,12982,37636,0.88,7420
23118,0.81,0.74,13924,0.91,14962,28217,0.82,9021
15985,0.95,0.82,30058,0.82,12177,14460,0.91,5730
9221,0.8,0.82,24373,0.83,13280,28769,0.91,10766
15569,0.93,0.84,35147,0.86,8659,35925,0.89,12552
25109,0.86,0.7,38506,0.85,14152,22094,0.91,9837
14668,0.92,0.72,31304,0.85,7317,4163,0.9,9675
27051,0.88,0.76,20525,0.82,6418,22660,0.87,10397
23729,0.93,0.67,36737,0.83,14937,34851,0.95,6088
33336,0.88,0.67,39765,0.85,10085,35119,0.88,14133
31932,0.8,0.82,4188,0.83,9488,24296,0.81,13780
36131,0.88,0.76,20149,0.83,12382,14726,0.89,13895
37229,0.94,0.61,16718,0.88,12160,33448,0.85,6494
21907,0.94,0.67,39451,0.92,10392,30072,0.94,12362
2764,0.81,0.67,16060,0.83,10428,28052,0.83,11755
22883,0.86,0.61,16224,0.91,6881,19511,0.82,5906
26185,0.8,0.76,5413,0.82,10564,36110,0.86,13256
20832,0.92,0.78,5080,0.89,7292,30625,0.89,5421
11882,0.82,0.69,32984,0.82,5460,37901,0.84,13213
38323,0.88,0.81,38909,0.87,11479,11066,0.94,14658
22461,0.8,0.73,N/A,N/A,N/A,N/A,N/A,N/A
10986,0.92,0.65,N/A,N/A,N/A,N/A,N/A,N/A
2759,0.83,0.64,N/A,N/A,N/A,N/A,N/A,N/A
31731,0.84,0.79,N/A,N/A,N/A,N/A,N/A,N/A
38440,0.91,0.68,N/A,N/A,N/A,N/A,N/A,N/A
26731,0.88,0.82,N/A,N/A,N/A,N/A,N/A,N/A
38857,0.85,0.82,N/A,N/A,N/A,N/A,N/A,N/A
26814,0.85,0.72,N/A,N/A,N/A,N/A,N/A,N/A
12134,0.91,0.69,N/A,N/A,N/A,N/A,N/A,N/A
12698,0.81,0.74,N/A,N/A,N/A,N/A,N/A,N/A
27430,0.84,0.81,N/A,N/A,N/A,N/A,N/A,N/A
2224,0.86,0.75,N/A,N/A,N/A,N/A,N/A,N/A
21390,0.84,0.65,N/A,N/A,N/A,N/A,N/A,N/A
36300,0.94,0.7,N/A,N/A,N/A,N/A,N/A,N/A
37131,0.84,0.85,N/A,N/A,N/A,N/A,N/A,N/A
10502,0.93,0.8,N/A,N/A,N/A,N/A,N/A,N/A
9235,0.93,0.69,N/A,N/A,N/A,N/A,N/A,N/A
7295,0.92,0.6,N/A,N/A,N/A,N/A,N/A,N/A
30346,0.93,0.78,N/A,N/A,N/A,N/A,N/A,N/A
12733,0.88,0.79,N/A,N/A,N/A,N/A,N/A,N/A
21945,0.86,0.63,N/A,N/A,N/A,N/A,N/A,N/A
28130,0.95,0.79,N/A,N/A,N/A,N/A,N/A,N/A
10827,0.81,0.7,N/A,N/A,N/A,N/A,N/A,N/A
9617,0.82,0.65,N/A,N/A,N/A,N/A,N/A,N/A
17883,0.93,0.64,N/A,N/A,N/A,N/A,N/A,N/A
8055,0.85,0.65,N/A,N/A,N/A,N/A,N/A,N/A
30392,0.81,0.76,N/A,N/A,N/A,N/A,N/A,N/A
12732,0.93,0.75,N/A,N/A,N/A,N/A,N/A,N/A
39851,0.82,0.73,N/A,N/A,N/A,N/A,N/A,N/A
19494,0.91,0.82,N/A,N/A,N/A,N/A,N/A,N/A
9526,0.86,0.78,N/A,N/A,N/A,N/A,N/A,N/A
22277,0.87,0.78,N/A,N/A,N/A,N/A,N/A,N/A
37804,0.94,0.62,N/A,N/A,N/A,N/A,N/A,N/A
21067,0.9,0.74,N/A,N/A,N/A,N/A,N/A,N/A
3337,0.86,0.73,N/A,N/A,N/A,N/A,N/A,N/A
33727,0.88,0.8,N/A,N/A,N/A,N/A,N/A,N/A
28526,0.89,0.66,N/A,N/A,N/A,N/A,N/A,N/A
14245,0.92,0.62,N/A,N/A,N/A,N/A,N/A,N/A
26328,0.93,0.83,N/A,N/A,N/A,N/A,N/A,N/A
27564,0.83,0.67,N/A,N/A,N/A,N/A,N/A,N/A
20705,0.87,0.71,N/A,N/A,N/A,N/A,N/A,N/A
12236,0.91,0.8,N/A,N/A,N/A,N/A,N/A,N/A
39708,0.92,0.64,N/A,N/A,N/A,N/A,N/A,N/A
10385,0.87,0.8,N/A,N/A,N/A,N/A,N/A,N/A
19450,0.94,0.67,N/A,N/A,N/A,N/A,N/A,N/A
39080,0.84,0.84,N/A,N/A,N/A,N/A,N/A,N/A
32769,0.88,0.83,N/A,N/A,N/A,N/A,N/A,N/A
4003,0.87,0.68,N/A,N/A,N/A,N/A,N/A,N/A
11443,0.89,0.72,N/A,N/A,N/A,N/A,N/A,N/A
11817,0.86,0.67,N/A,N/A,N/A,N/A,N/A,N/A
32986,0.85,0.66,N/A,N/A,N/A,N/A,N/A,N/A
15568,0.9,0.8,N/A,N/A,N/A,N/A,N/A,N/A
33803,0.83,0.74,N/A,N/A,N/A,N/A,N/A,N/A
