0,1,2,3
"1.6,0.76,0.64","1.0,0.79,0.72","1.7,0.84,0.73","3.1,0.7,0.64"
"2.2,0.84,0.74","2.0,0.75,0.55","2.7,0.82,0.54","1.7,0.71,0.51"
"2.3,0.79,0.74","1.7,0.75,0.74","1.6,0.78,0.57","3.3,0.74,0.65"
"1.4,0.85,0.62","4.0,0.79,0.75","1.3,0.79,0.46","3.6,0.71,0.5"
"2.4,0.88,0.51","2.9,0.76,0.66","2.8,0.85,0.66","2.9,0.79,0.52"
"4.0,0.88,0.62","3.8,0.9,0.76","3.6,0.72,0.79","3.8,0.88,0.73"
"3.6,0.84,0.6","4.0,0.71,0.64","2.5,0.85,0.64","2.3,0.8,0.46"
"3.8,0.7,0.78","2.9,0.7,0.61","1.6,0.73,0.76","1.1,0.71,0.58"
"3.9,0.87,0.59","2.1,0.84,0.73","2.9,0.87,0.6","4.0,0.78,0.55"
"1.0,0.88,0.46","3.1,0.76,0.66","2.3,0.85,0.61","1.1,0.88,0.67"
"1.6,0.88,0.48","1.2,0.73,0.75","1.1,0.87,0.65","2.1,0.84,0.49"
"1.2,0.71,0.71","1.8,0.84,0.7","2.2,0.82,0.78","2.2,0.78,0.66"
"2.4,0.89,0.66","2.8,0.71,0.55","3.4,0.73,0.69","1.3,0.87,0.65"
"1.5,0.89,0.68","3.6,0.77,0.63","1.8,0.79,0.76","1.3,0.77,0.64"
"3.0,0.77,0.7","3.9,0.72,0.7","3.4,0.71,0.78","2.6,0.83,0.72"
"1.8,0.83,0.64","2.0,0.82,0.67","3.5,0.72,0.46","1.3,0.75,0.47"
"3.5,0.8,0.56","2.4,0.79,0.54","1.4,0.73,0.7","1.8,0.84,0.58"
"3.4,0.75,0.52","1.1,0.76,0.66","3.4,0.81,0.64","2.7,0.76,0.54"
"1.9,0.7,0.49","1.0,0.83,0.79","2.6,0.88,0.76","1.3,0.78,0.77"
"3.9,0.85,0.46","3.2,0.71,0.75","2.3,0.77,0.46","3.2,0.77,0.5"
"1.9,0.75,0.61","1.9,0.77,0.66","2.1,0.85,0.51","1.6,0.82,0.63"
"2.2,0.81,0.76","1.2,0.74,0.61","1.4,0.86,0.66","3.1,0.81,0.66"
"2.4,0.8,0.48","1.8,0.83,0.5","3.3,0.72,0.66","3.2,0.88,0.74"
"1.0,0.89,0.49","2.1,0.9,0.63","3.5,0.7,0.73","1.0,0.75,0.77"
"1.9,0.75,0.49","1.4,0.8,0.59","2.3,0.87,0.64","1.7,0.72,0.71"
"3.2,0.72,0.62","1.7,0.9,0.67","3.5,0.71,0.71","3.6,0.86,0.61"
"3.1,0.74,0.66","3.9,0.75,0.49","3.5,0.9,0.69","2.4,0.87,0.46"
"3.2,0.87,0.79","1.7,0.89,0.63","3.8,0.75,0.76","3.2,0.75,0.49"
"3.3,0.74,0.61","1.5,0.79,0.53","3.7,0.86,0.76","2.1,0.79,0.67"
"1.1,0.77,0.51","2.4,0.85,0.53","1.5,0.72,0.61","2.2,0.83,0.55"
"3.1,0.78,0.76","3.0,0.77,0.49","1.3,0.81,0.67","3.0,0.74,0.72"
"1.2,0.85,0.72","1.5,0.87,0.6","1.9,0.74,0.76","1.6,0.78,0.52"
"1.1,0.8,0.63","3.3,0.78,0.55","3.1,0.75,0.73","2.4,0.89,0.62"
"3.3,0.83,0.53","2.1,0.78,0.69","2.9,0.85,0.46","2.2,0.8,0.53"
"1.4,0.81,0.53","2.0,0.71,0.68","1.0,0.76,0.68","2.5,0.77,0.65"
