sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
21834,0.82,0.83,3784,0.92,6519,25938,0.8,7250
4628,0.88,0.77,29292,0.89,10874,16776,0.93,14417
18414,0.9,0.75,21220,0.94,9017,29218,0.94,13030
32208,0.93,0.82,28415,0.87,12934,10261,0.9,7306
20440,0.92,0.76,N/A,N/A,N/A,37837,0.82,9885
32156,0.87,0.64,N/A,N/A,N/A,6661,0.91,5803
27261,0.84,0.76,N/A,N/A,N/A,N/A,N/A,N/A
16074,0.86,0.69,N/A,N/A,N/A,N/A,N/A,N/A
13908,0.88,0.79,N/A,N/A,N/A,N/A,N/A,N/A
23306,0.8,0.65,N/A,N/A,N/A,N/A,N/A,N/A
32281,0.81,0.83,N/A,N/A,N/A,N/A,N/A,N/A
27274,0.9,0.78,N/A,N/A,N/A,N/A,N/A,N/A
27704,0.9,0.64,N/A,N/A,N/A,N/A,N/A,N/A
39528,0.9,0.84,N/A,N/A,N/A,N/A,N/A,N/A
23502,0.83,0.84,N/A,N/A,N/A,N/A,N/A,N/A
39395,0.93,0.84,N/A,N/A,N/A,N/A,N/A,N/A
5675,0.9,0.78,N/A,N/A,N/A,N/A,N/A,N/A
18232,0.92,0.75,N/A,N/A,N/A,N/A,N/A,N/A
24252,0.84,0.73,N/A,N/A,N/A,N/A,N/A,N/A
7351,0.91,0.84,N/A,N/A,N/A,N/A,N/A,N/A
8846,0.83,0.85,N/A,N/A,N/A,N/A,N/A,N/A
28533,0.83,0.67,N/A,N/A,N/A,N/A,N/A,N/A
37605,0.9,0.67,N/A,N/A,N/A,N/A,N/A,N/A
32178,0.89,0.77,N/A,N/A,N/A,N/A,N/A,N/A
3407,0.87,0.8,N/A,N/A,N/A,N/A,N/A,N/A
23599,0.91,0.82,N/A,N/A,N/A,N/A,N/A,N/A
25474,0.92,0.73,N/A,N/A,N/A,N/A,N/A,N/A
12119,0.93,0.77,N/A,N/A,N/A,N/A,N/A,N/A
14202,0.89,0.61,N/A,N/A,N/A,N/A,N/A,N/A
21942,0.84,0.61,N/A,N/A,N/A,N/A,N/A,N/A
21835,0.83,0.77,N/A,N/A,N/A,N/A,N/A,N/A
22068,0.87,0.64,N/A,N/A,N/A,N/A,N/A,N/A
23535,0.95,0.75,N/A,N/A,N/A,N/A,N/A,N/A
5099,0.92,0.63,N/A,N/A,N/A,N/A,N/A,N/A
22528,0.8,0.66,N/A,N/A,N/A,N/A,N/A,N/A
