sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
14877,0.86,0.64,13350,0.9,9392,18545,0.89,13353
23584,0.91,0.73,34733,0.92,8757,33799,0.93,5072
10281,0.89,0.61,35565,0.8,14352,14658,0.86,11764
8786,0.86,0.78,3447,0.9,8245,34781,0.85,14605
13842,0.93,0.71,10793,0.84,8846,18818,0.94,5348
20356,0.88,0.75,13474,0.88,5906,2359,0.9,5495
35762,0.95,0.65,18868,0.84,10209,25262,0.92,6198
17840,0.87,0.73,28495,0.83,14889,6081,0.93,12796
20925,0.87,0.8,22170,0.89,12127,31343,0.92,11610
35149,0.94,0.75,21709,0.92,10310,14230,0.91,6011
23672,0.84,0.68,30812,0.9,14753,18094,0.91,7604
15443,0.93,0.66,19034,0.81,14876,30580,0.89,8294
24090,0.95,0.79,27824,0.85,6563,9112,0.87,13471
21618,0.91,0.71,17789,0.85,5013,20634,0.9,6528
28848,0.81,0.69,12473,0.93,9187,28541,0.81,6333
5769,0.83,0.83,16638,0.81,7674,20957,0.91,11833
29927,0.92,0.77,33468,0.84,5545,21416,0.92,13947
2514,0.9,0.72,20757,0.92,9177,3663,0.81,7785
33491,0.9,0.73,12744,0.85,9211,33860,0.81,12305
17967,0.8,0.64,13576,0.86,5781,28883,0.92,12438
32594,0.92,0.63,21040,0.83,8216,36856,0.91,9355
18667,0.82,0.61,13610,0.81,14048,28144,0.93,5288
20524,0.85,0.79,31796,0.92,6400,11554,0.94,12409
25905,0.81,0.75,5012,0.85,6027,4172,0.85,5076
2128,0.93,0.6,28086,0.92,14933,21058,0.95,8903
2866,0.94,0.75,2718,0.94,13062,23106,0.88,12343
28431,0.85,0.73,18914,0.9,10475,22022,0.92,7386
27742,0.94,0.68,24834,0.87,6175,21227,0.9,11103
26598,0.94,0.69,30572,0.83,9466,13902,0.94,8489
21598,0.9,0.66,29241,0.88,9549,38484,0.87,7824
35865,0.91,0.6,12808,0.81,6621,18523,0.87,13725
16867,0.91,0.73,25481,0.81,12217,33270,0.87,11624
7434,0.9,0.65,14981,0.87,8874,37098,0.85,10419
22327,0.93,0.67,7827,0.81,13982,3689,0.91,13880
39022,0.9,0.75,15292,0.88,12257,23370,0.93,14221
25564,0.87,0.77,9096,0.92,12273,22479,0.87,11331
7168,0.9,0.6,31050,0.89,7975,25712,0.83,13344
20671,0.9,0.74,6333,0.85,5153,33194,0.89,8029
19018,0.89,0.68,28057,0.86,12770,7595,0.94,5584
35417,0.93,0.79,20736,0.85,12465,17497,0.93,11832
2737,0.81,0.81,N/A,N/A,N/A,N/A,N/A,N/A
35612,0.89,0.66,N/A,N/A,N/A,N/A,N/A,N/A
20990,0.87,0.79,N/A,N/A,N/A,N/A,N/A,N/A
12006,0.88,0.65,N/A,N/A,N/A,N/A,N/A,N/A
