sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
9989,0.83,0.67,32559,0.86,7870,7623,0.88,7095
33908,0.83,0.84,37970,0.85,13823,31671,0.81,8343
31907,0.94,0.83,26095,0.8,8570,11641,0.89,11348
5046,0.82,0.6,33862,0.87,5993,5702,0.8,8775
26873,0.92,0.64,18341,0.89,7826,17295,0.89,6294
9512,0.86,0.63,8941,0.84,9138,27060,0.93,14304
26180,0.8,0.67,32934,0.94,11274,19807,0.94,8525
26593,0.92,0.67,25778,0.9,9842,9174,0.92,5943
30119,0.91,0.78,15166,0.86,5840,28428,0.92,14485
11749,0.81,0.82,30495,0.9,9508,22255,0.91,10884
35570,0.87,0.82,10593,0.81,8759,3832,0.88,14941
15132,0.85,0.62,20593,0.92,5745,9991,0.9,13658
29391,0.93,0.6,27522,0.84,11045,7462,0.9,6483
33851,0.82,0.61,3429,0.94,13427,15002,0.94,13289
4362,0.9,0.75,31995,0.83,10016,31569,0.82,12970
37738,0.85,0.81,26612,0.87,8783,22558,0.9,8680
18566,0.85,0.71,32491,0.93,14184,8833,0.86,8855
7151,0.83,0.66,22588,0.9,11172,13538,0.88,7847
27863,0.94,0.77,9168,0.87,8379,10041,0.81,10071
22377,0.93,0.66,24898,0.94,12207,2275,0.94,12742
16750,0.83,0.62,8439,0.8,8945,28555,0.85,6692
26665,0.89,0.63,12036,0.82,13678,6414,0.86,11546
11533,0.88,0.67,35222,0.93,11112,25415,0.81,10401
38057,0.89,0.71,21985,0.94,7830,3061,0.92,7494
23601,0.95,0.62,9213,0.89,6186,29710,0.8,10872
6380,0.93,0.73,27506,0.91,8705,18016,0.89,12108
28405,0.81,0.75,4123,0.9,10687,2395,0.9,10231
16165,0.92,0.64,16675,0.91,11441,4004,0.81,10767
15602,0.92,0.75,27739,0.93,9496,19221,0.84,10447
31946,0.85,0.81,23516,0.84,7821,26614,0.88,6606
19527,0.89,0.83,26484,0.84,12884,37028,0.85,9027
16368,0.88,0.63,2422,0.91,6564,24932,0.92,12539
36081,0.83,0.68,8283,0.81,12261,19064,0.9,6776
6047,0.91,0.67,30661,0.85,10506,10583,0.93,5590
35609,0.89,0.64,35434,0.93,7997,27804,0.88,12895
36224,0.83,0.82,29446,0.88,6254,25459,0.83,12099
4696,0.86,0.65,37492,0.8,8971,28764,0.87,8349
23214,0.87,0.63,6094,0.89,10882,30913,0.82,5910
4476,0.84,0.7,39840,0.82,8250,5440,0.93,6317
12885,0.92,0.67,34126,0.84,10300,15137,0.85,5143
18205,0.93,0.67,N/A,N/A,N/A,N/A,N/A,N/A
6372,0.91,0.66,N/A,N/A,N/A,N/A,N/A,N/A
20828,0.81,0.64,N/A,N/A,N/A,N/A,N/A,N/A
25488,0.92,0.64,N/A,N/A,N/A,N/A,N/A,N/A
