sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
2268,0.88,0.8,37688,0.89,13536,36240,0.94,9040
36539,0.88,0.67,38868,0.91,14945,9071,0.83,12699
38099,0.95,0.77,38111,0.91,9617,29528,0.83,5344
11442,0.86,0.67,4659,0.95,8825,25638,0.88,6786
35454,0.89,0.81,N/A,N/A,N/A,21144,0.89,11275
18264,0.9,0.66,N/A,N/A,N/A,38558,0.95,10061
19965,0.88,0.71,N/A,N/A,N/A,N/A,N/A,N/A
20351,0.9,0.78,N/A,N/A,N/A,N/A,N/A,N/A
28877,0.83,0.77,N/A,N/A,N/A,N/A,N/A,N/A
28429,0.95,0.71,N/A,N/A,N/A,N/A,N/A,N/A
8770,0.84,0.67,N/A,N/A,N/A,N/A,N/A,N/A
39135,0.81,0.83,N/A,N/A,N/A,N/A,N/A,N/A
31200,0.81,0.7,N/A,N/A,N/A,N/A,N/A,N/A
22961,0.81,0.65,N/A,N/A,N/A,N/A,N/A,N/A
19566,0.92,0.62,N/A,N/A,N/A,N/A,N/A,N/A
17408,0.88,0.62,N/A,N/A,N/A,N/A,N/A,N/A
12016,0.95,0.67,N/A,N/A,N/A,N/A,N/A,N/A
9272,0.9,0.66,N/A,N/A,N/A,N/A,N/A,N/A
22129,0.9,0.77,N/A,N/A,N/A,N/A,N/A,N/A
27675,0.83,0.66,N/A,N/A,N/A,N/A,N/A,N/A
29864,0.92,0.69,N/A,N/A,N/A,N/A,N/A,N/A
23557,0.87,0.79,N/A,N/A,N/A,N/A,N/A,N/A
36106,0.85,0.63,N/A,N/A,N/A,N/A,N/A,N/A
38626,0.84,0.71,N/A,N/A,N/A,N/A,N/A,N/A
37714,0.87,0.67,N/A,N/A,N/A,N/A,N/A,N/A
26312,0.82,0.71,N/A,N/A,N/A,N/A,N/A,N/A
8702,0.87,0.68,N/A,N/A,N/A,N/A,N/A,N/A
10594,0.8,0.73,N/A,N/A,N/A,N/A,N/A,N/A
15529,0.81,0.67,N/A,N/A,N/A,N/A,N/A,N/A
19172,0.88,0.62,N/A,N/A,N/A,N/A,N/A,N/A
24473,0.9,0.81,N/A,N/A,N/A,N/A,N/A,N/A
11655,0.92,0.62,N/A,N/A,N/A,N/A,N/A,N/A
19569,0.81,0.67,N/A,N/A,N/A,N/A,N/A,N/A
5505,0.88,0.62,N/A,N/A,N/A,N/A,N/A,N/A
24752,0.87,0.67,N/A,N/A,N/A,N/A,N/A,N/A
20130,0.81,0.74,N/A,N/A,N/A,N/A,N/A,N/A
4897,0.93,0.78,N/A,N/A,N/A,N/A,N/A,N/A
28479,0.82,0.69,N/A,N/A,N/A,N/A,N/A,N/A
33196,0.93,0.67,N/A,N/A,N/A,N/A,N/A,N/A
38144,0.85,0.6,N/A,N/A,N/A,N/A,N/A,N/A
37203,0.88,0.76,N/A,N/A,N/A,N/A,N/A,N/A
15192,0.87,0.67,N/A,N/A,N/A,N/A,N/A,N/A
16444,0.92,0.69,N/A,N/A,N/A,N/A,N/A,N/A
15430,0.93,0.74,N/A,N/A,N/A,N/A,N/A,N/A
34409,0.81,0.74,N/A,N/A,N/A,N/A,N/A,N/A
8618,0.8,0.66,N/A,N/A,N/A,N/A,N/A,N/A
