sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
33395,0.93,0.64,16354,0.86,14021,36949,0.91,9901
12739,0.91,0.82,2347,0.89,6924,3304,0.94,8757
23760,0.82,0.82,27568,0.87,9829,32318,0.88,11855
7780,0.88,0.67,24370,0.93,9238,29606,0.91,13564
27725,0.88,0.61,N/A,N/A,N/A,27155,0.93,10299
33110,0.84,0.78,N/A,N/A,N/A,33731,0.85,8709
20949,0.89,0.71,N/A,N/A,N/A,N/A,N/A,N/A
38445,0.88,0.75,N/A,N/A,N/A,N/A,N/A,N/A
22992,0.91,0.77,N/A,N/A,N/A,N/A,N/A,N/A
13448,0.86,0.76,N/A,N/A,N/A,N/A,N/A,N/A
26524,0.84,0.6,N/A,N/A,N/A,N/A,N/A,N/A
10878,0.81,0.81,N/A,N/A,N/A,N/A,N/A,N/A
33341,0.85,0.64,N/A,N/A,N/A,N/A,N/A,N/A
10423,0.87,0.83,N/A,N/A,N/A,N/A,N/A,N/A
33711,0.95,0.71,N/A,N/A,N/A,N/A,N/A,N/A
7223,0.81,0.67,N/A,N/A,N/A,N/A,N/A,N/A
34412,0.87,0.77,N/A,N/A,N/A,N/A,N/A,N/A
12807,0.81,0.75,N/A,N/A,N/A,N/A,N/A,N/A
37539,0.84,0.69,N/A,N/A,N/A,N/A,N/A,N/A
35212,0.9,0.7,N/A,N/A,N/A,N/A,N/A,N/A
3996,0.89,0.8,N/A,N/A,N/A,N/A,N/A,N/A
15335,0.88,0.7,N/A,N/A,N/A,N/A,N/A,N/A
18362,0.9,0.83,N/A,N/A,N/A,N/A,N/A,N/A
5672,0.81,0.74,N/A,N/A,N/A,N/A,N/A,N/A
6692,0.81,0.68,N/A,N/A,N/A,N/A,N/A,N/A
21405,0.92,0.69,N/A,N/A,N/A,N/A,N/A,N/A
36155,0.84,0.6,N/A,N/A,N/A,N/A,N/A,N/A
32701,0.87,0.77,N/A,N/A,N/A,N/A,N/A,N/A
33575,0.84,0.65,N/A,N/A,N/A,N/A,N/A,N/A
8003,0.89,0.82,N/A,N/A,N/A,N/A,N/A,N/A
