0,1,2
"2.1,0.71,0.73","3.1,0.87,0.71","1.4,0.75,0.78"
"1.7,0.87,0.77","3.3,0.76,0.6","2.8,0.73,0.48"
"3.5,0.78,0.59","4.0,0.79,0.48","3.3,0.74,0.71"
"3.7,0.86,0.63","3.5,0.81,0.53","3.3,0.74,0.65"
"1.6,0.7,0.66","2.6,0.76,0.63","3.9,0.79,0.73"
"2.3,0.76,0.66","3.4,0.88,0.47","1.6,0.84,0.64"
"2.7,0.9,0.51","3.7,0.84,0.61","2.7,0.75,0.73"
"4.0,0.78,0.58","2.2,0.86,0.8","3.1,0.81,0.75"
"2.2,0.86,0.68","2.9,0.73,0.7","3.8,0.74,0.52"
"1.3,0.79,0.71","3.9,0.88,0.63","3.4,0.7,0.6"
"3.8,0.84,0.55","3.9,0.85,0.5","1.4,0.72,0.57"
"3.3,0.76,0.54","3.1,0.75,0.47","3.6,0.76,0.53"
"3.9,0.85,0.66","1.8,0.81,0.65","2.1,0.73,0.54"
"1.3,0.8,0.61","1.8,0.9,0.73","3.4,0.88,0.58"
"1.6,0.72,0.65","3.9,0.82,0.56","2.2,0.86,0.71"
"3.0,0.75,0.74","3.6,0.72,0.76","3.9,0.88,0.69"
"2.8,0.82,0.66","3.0,0.83,0.7","1.1,0.72,0.46"
"3.3,0.86,0.72","1.8,0.8,0.69","2.0,0.87,0.55"
"2.9,0.72,0.53","1.8,0.71,0.47","2.6,0.71,0.68"
"2.7,0.89,0.55","3.5,0.83,0.64","3.1,0.85,0.59"
