sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
27410,0.81,0.69,12557,0.85,14307,20394,0.94,10456
21197,0.81,0.7,3182,0.87,11489,22660,0.84,10231
15562,0.91,0.7,22652,0.85,5449,31203,0.93,7901
22716,0.89,0.68,N/A,N/A,N/A,2381,0.92,14856
4975,0.85,0.67,N/A,N/A,N/A,38682,0.83,7095
30004,0.91,0.83,N/A,N/A,N/A,N/A,N/A,N/A
10938,0.93,0.71,N/A,N/A,N/A,N/A,N/A,N/A
30158,0.91,0.66,N/A,N/A,N/A,N/A,N/A,N/A
14138,0.93,0.72,N/A,N/A,N/A,N/A,N/A,N/A
19179,0.81,0.72,N/A,N/A,N/A,N/A,N/A,N/A
3121,0.85,0.78,N/A,N/A,N/A,N/A,N/A,N/A
2791,0.91,0.83,N/A,N/A,N/A,N/A,N/A,N/A
15849,0.93,0.62,N/A,N/A,N/A,N/A,N/A,N/A
32610,0.93,0.68,N/A,N/A,N/A,N/A,N/A,N/A
7414,0.9,0.62,N/A,N/A,N/A,N/A,N/A,N/A
21886,0.85,0.76,N/A,N/A,N/A,N/A,N/A,N/A
12817,0.85,0.76,N/A,N/A,N/A,N/A,N/A,N/A
38338,0.91,0.71,N/A,N/A,N/A,N/A,N/A,N/A
12791,0.93,0.76,N/A,N/A,N/A,N/A,N/A,N/A
3138,0.94,0.75,N/A,N/A,N/A,N/A,N/A,N/A
