sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
27672,0.86,0.78,31421,0.94,5575,17726,0.83,8832
37953,0.81,0.7,5514,0.86,6416,26562,0.83,8710
9667,0.87,0.71,31898,0.8,5950,23822,0.84,10117
12670,0.92,0.65,N/A,N/A,N/A,29191,0.85,6124
34543,0.83,0.79,N/A,N/A,N/A,28586,0.82,7600
7764,0.84,0.65,N/A,N/A,N/A,N/A,N/A,N/A
25508,0.9,0.78,N/A,N/A,N/A,N/A,N/A,N/A
36016,0.93,0.68,N/A,N/A,N/A,N/A,N/A,N/A
19771,0.88,0.65,N/A,N/A,N/A,N/A,N/A,N/A
19100,0.84,0.84,N/A,N/A,N/A,N/A,N/A,N/A
20060,0.87,0.79,N/A,N/A,N/A,N/A,N/A,N/A
13980,0.89,0.81,N/A,N/A,N/A,N/A,N/A,N/A
15804,0.91,0.71,N/A,N/A,N/A,N/A,N/A,N/A
2032,0.88,0.64,N/A,N/A,N/A,N/A,N/A,N/A
7675,0.85,0.65,N/A,N/A,N/A,N/A,N/A,N/A
16801,0.85,0.68,N/A,N/A,N/A,N/A,N/A,N/A
10219,0.85,0.82,N/A,N/A,N/A,N/A,N/A,N/A
33773,0.92,0.69,N/A,N/A,N/A,N/A,N/A,N/A
4579,0.92,0.83,N/A,N/A,N/A,N/A,N/A,N/A
21407,0.92,0.82,N/A,N/A,N/A,N/A,N/A,N/A
2266,0.88,0.65,N/A,N/A,N/A,N/A,N/A,N/A
22538,0.95,0.64,N/A,N/A,N/A,N/A,N/A,N/A
7116,0.84,0.75,N/A,N/A,N/A,N/A,N/A,N/A
3150,0.82,0.66,N/A,N/A,N/A,N/A,N/A,N/A
3491,0.89,0.8,N/A,N/A,N/A,N/A,N/A,N/A
