0,1,2,3
"2.8,0.77,0.74","1.8,0.7,0.72","1.0,0.85,0.72","1.9,0.82,0.5"
"2.4,0.89,0.51","1.4,0.89,0.52","3.7,0.84,0.73","3.9,0.77,0.8"
"3.2,0.87,0.51","2.5,0.81,0.48","3.6,0.72,0.6","2.8,0.8,0.73"
"1.7,0.88,0.73","1.3,0.76,0.65","2.3,0.76,0.79","3.8,0.81,0.63"
"3.9,0.84,0.69","1.5,0.77,0.73","1.4,0.8,0.76","1.6,0.75,0.5"
"1.8,0.8,0.67","2.9,0.89,0.46","2.6,0.79,0.66","1.3,0.77,0.58"
"1.3,0.82,0.48","1.1,0.77,0.59","1.4,0.86,0.63","3.2,0.82,0.76"
"1.6,0.8,0.57","2.6,0.75,0.69","3.3,0.7,0.48","1.8,0.79,0.5"
"2.2,0.8,0.59","2.4,0.71,0.7","1.8,0.75,0.77","2.9,0.82,0.59"
"1.3,0.74,0.52","3.1,0.79,0.48","2.1,0.71,0.62","3.5,0.73,0.59"
"3.2,0.77,0.62","2.5,0.7,0.63","3.2,0.89,0.51","1.4,0.9,0.54"
"3.5,0.73,0.59","1.4,0.86,0.47","3.3,0.7,0.59","1.6,0.71,0.63"
"3.1,0.89,0.69","2.8,0.71,0.75","3.2,0.75,0.74","3.0,0.75,0.72"
"2.2,0.85,0.48","2.9,0.83,0.78","2.9,0.85,0.62","3.5,0.82,0.63"
"2.8,0.87,0.6","3.7,0.86,0.72","2.3,0.81,0.69","1.9,0.78,0.66"
"2.6,0.9,0.65","1.5,0.74,0.71","3.4,0.78,0.52","3.7,0.82,0.48"
"3.4,0.85,0.73","1.7,0.78,0.59","1.5,0.83,0.56","2.0,0.77,0.56"
"3.8,0.74,0.58","1.4,0.76,0.67","3.5,0.75,0.45","1.3,0.75,0.78"
"1.2,0.79,0.55","2.2,0.72,0.75","1.5,0.73,0.49","1.6,0.73,0.52"
"2.6,0.71,0.69","3.2,0.87,0.66","1.7,0.75,0.52","2.9,0.86,0.65"
"2.9,0.72,0.57","2.9,0.82,0.5","1.4,0.76,0.77","2.9,0.71,0.69"
"1.4,0.79,0.53","3.3,0.9,0.63","1.2,0.7,0.57","2.9,0.74,0.75"
"1.7,0.77,0.69","2.4,0.83,0.53","3.8,0.81,0.63","2.3,0.74,0.56"
"3.4,0.76,0.5","1.9,0.86,0.59","2.1,0.85,0.67","1.3,0.78,0.64"
"3.1,0.89,0.56","3.8,0.75,0.55","1.0,0.87,0.67","2.5,0.73,0.73"
"2.9,0.74,0.65","2.4,0.73,0.58","1.2,0.72,0.73","3.1,0.86,0.46"
