sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
11902,0.86,0.61,11721,0.87,9580,5357,0.85,5608
25014,0.95,0.65,33706,0.94,13709,14571,0.85,9883
37304,0.84,0.72,39390,0.81,7251,29655,0.87,13962
16968,0.85,0.74,22105,0.88,6916,6603,0.93,6249
23271,0.87,0.74,N/A,N/A,N/A,15815,0.82,12945
34187,0.93,0.69,N/A,N/A,N/A,9458,0.93,6688
32618,0.85,0.74,N/A,N/A,N/A,N/A,N/A,N/A
32356,0.94,0.78,N/A,N/A,N/A,N/A,N/A,N/A
2309,0.84,0.62,N/A,N/A,N/A,N/A,N/A,N/A
19341,0.8,0.71,N/A,N/A,N/A,N/A,N/A,N/A
11603,0.84,0.65,N/A,N/A,N/A,N/A,N/A,N/A
30420,0.81,0.73,N/A,N/A,N/A,N/A,N/A,N/A
35334,0.84,0.72,N/A,N/A,N/A,N/A,N/A,N/A
12339,0.86,0.85,N/A,N/A,N/A,N/A,N/A,N/A
7036,0.89,0.61,N/A,N/A,N/A,N/A,N/A,N/A
38399,0.95,0.79,N/A,N/A,N/A,N/A,N/A,N/A
9676,0.89,0.67,N/A,N/A,N/A,N/A,N/A,N/A
16272,0.91,0.76,N/A,N/A,N/A,N/A,N/A,N/A
34432,0.82,0.84,N/A,N/A,N/A,N/A,N/A,N/A
31391,0.84,0.84,N/A,N/A,N/A,N/A,N/A,N/A
30920,0.83,0.76,N/A,N/A,N/A,N/A,N/A,N/A
21666,0.88,0.84,N/A,N/A,N/A,N/A,N/A,N/A
7191,0.84,0.63,N/A,N/A,N/A,N/A,N/A,N/A
15017,0.83,0.71,N/A,N/A,N/A,N/A,N/A,N/A
37238,0.92,0.69,N/A,N/A,N/A,N/A,N/A,N/A
8554,0.88,0.63,N/A,N/A,N/A,N/A,N/A,N/A
26426,0.81,0.78,N/A,N/A,N/A,N/A,N/A,N/A
30853,0.88,0.61,N/A,N/A,N/A,N/A,N/A,N/A
13691,0.88,0.72,N/A,N/A,N/A,N/A,N/A,N/A
13624,0.94,0.67,N/A,N/A,N/A,N/A,N/A,N/A
2186,0.91,0.82,N/A,N/A,N/A,N/A,N/A,N/A
2321,0.92,0.81,N/A,N/A,N/A,N/A,N/A,N/A
37961,0.89,0.81,N/A,N/A,N/A,N/A,N/A,N/A
23094,0.92,0.63,N/A,N/A,N/A,N/A,N/A,N/A
22414,0.89,0.82,N/A,N/A,N/A,N/A,N/A,N/A
20396,0.85,0.65,N/A,N/A,N/A,N/A,N/A,N/A
32728,0.83,0.77,N/A,N/A,N/A,N/A,N/A,N/A
33559,0.87,0.84,N/A,N/A,N/A,N/A,N/A,N/A
11665,0.86,0.71,N/A,N/A,N/A,N/A,N/A,N/A
18366,0.88,0.74,N/A,N/A,N/A,N/A,N/A,N/A
6341,0.85,0.81,N/A,N/A,N/A,N/A,N/A,N/A
7569,0.89,0.61,N/A,N/A,N/A,N/A,N/A,N/A
19227,0.84,0.74,N/A,N/A,N/A,N/A,N/A,N/A
9318,0.8,0.79,N/A,N/A,N/A,N/A,N/A,N/A
4347,0.84,0.81,N/A,N/A,N/A,N/A,N/A,N/A
12799,0.91,0.83,N/A,N/A,N/A,N/A,N/A,N/A
33811,0.87,0.64,N/A,N/A,N/A,N/A,N/A,N/A
31156,0.84,0.66,N/A,N/A,N/A,N/A,N/A,N/A
20925,0.89,0.71,N/A,N/A,N/A,N/A,N/A,N/A
20769,0.81,0.77,N/A,N/A,N/A,N/A,N/A,N/A
7557,0.91,0.8,N/A,N/A,N/A,N/A,N/A,N/A
24974,0.87,0.69,N/A,N/A,N/A,N/A,N/A,N/A
29071,0.93,0.74,N/A,N/A,N/A,N/A,N/A,N/A
3460,0.89,0.66,N/A,N/A,N/A,N/A,N/A,N/A
27271,0.8,0.64,N/A,N/A,N/A,N/A,N/A,N/A
2846,0.82,0.7,N/A,N/A,N/A,N/A,N/A,N/A
10651,0.83,0.65,N/A,N/A,N/A,N/A,N/A,N/A
33537,0.89,0.75,N/A,N/A,N/A,N/A,N/A,N/A
5681,0.88,0.8,N/A,N/A,N/A,N/A,N/A,N/A
27009,0.88,0.61,N/A,N/A,N/A,N/A,N/A,N/A
9220,0.94,0.66,N/A,N/A,N/A,N/A,N/A,N/A
37943,0.92,0.67,N/A,N/A,N/A,N/A,N/A,N/A
25897,0.93,0.73,N/A,N/A,N/A,N/A,N/A,N/A
2272,0.84,0.69,N/A,N/A,N/A,N/A,N/A,N/A
28093,0.86,0.82,N/A,N/A,N/A,N/A,N/A,N/A
24024,0.92,0.82,N/A,N/A,N/A,N/A,N/A,N/A
29112,0.84,0.72,N/A,N/A,N/A,N/A,N/A,N/A
29264,0.87,0.75,N/A,N/A,N/A,N/A,N/A,N/A
33621,0.88,0.66,N/A,N/A,N/A,N/A,N/A,N/A
11266,0.91,0.77,N/A,N/A,N/A,N/A,N/A,N/A
34113,0.88,0.66,N/A,N/A,N/A,N/A,N/A,N/A
34715,0.86,0.76,N/A,N/A,N/A,N/A,N/A,N/A
7763,0.81,0.82,N/A,N/A,N/A,N/A,N/A,N/A
31894,0.8,0.64,N/A,N/A,N/A,N/A,N/A,N/A
39926,0.94,0.66,N/A,N/A,N/A,N/A,N/A,N/A
37072,0.91,0.74,N/A,N/A,N/A,N/A,N/A,N/A
6215,0.82,0.71,N/A,N/A,N/A,N/A,N/A,N/A
38875,0.81,0.69,N/A,N/A,N/A,N/A,N/A,N/A
29735,0.82,0.67,N/A,N/A,N/A,N/A,N/A,N/A
5724,0.91,0.64,N/A,N/A,N/A,N/A,N/A,N/A
24175,0.94,0.68,N/A,N/A,N/A,N/A,N/A,N/A
11705,0.85,0.63,N/A,N/A,N/A,N/A,N/A,N/A
26494,0.94,0.64,N/A,N/A,N/A,N/A,N/A,N/A
6121,0.84,0.63,N/A,N/A,N/A,N/A,N/A,N/A
27385,0.9,0.67,N/A,N/A,N/A,N/A,N/A,N/A
25466,0.92,0.84,N/A,N/A,N/A,N/A,N/A,N/A
17763,0.88,0.66,N/A,N/A,N/A,N/A,N/A,N/A
26440,0.85,0.61,N/A,N/A,N/A,N/A,N/A,N/A
22959,0.83,0.66,N/A,N/A,N/A,N/A,N/A,N/A
12381,0.85,0.63,N/A,N/A,N/A,N/A,N/A,N/A
14516,0.89,0.63,N/A,N/A,N/A,N/A,N/A,N/A
31309,0.83,0.62,N/A,N/A,N/A,N/A,N/A,N/A
36646,0.93,0.75,N/A,N/A,N/A,N/A,N/A,N/A
8167,0.82,0.81,N/A,N/A,N/A,N/A,N/A,N/A
33030,0.9,0.82,N/A,N/A,N/A,N/A,N/A,N/A
20070,0.9,0.69,N/A,N/A,N/A,N/A,N/A,N/A
22017,0.92,0.7,N/A,N/A,N/A,N/A,N/A,N/A
18227,0.82,0.8,N/A,N/A,N/A,N/A,N/A,N/A
16751,0.85,0.72,N/A,N/A,N/A,N/A,N/A,N/A
7698,0.93,0.64,N/A,N/A,N/A,N/A,N/A,N/A
