sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
36444,0.94,0.64,3567,0.91,7997,18037,0.9,8967
32992,0.89,0.75,15622,0.89,13134,18951,0.86,14489
39698,0.84,0.67,30554,0.91,11842,38376,0.91,13697
9376,0.83,0.6,28419,0.88,7042,29411,0.84,12464
16771,0.82,0.81,23322,0.86,6992,35522,0.84,9951
8005,0.91,0.67,34170,0.91,10321,26487,0.88,13708
29589,0.81,0.81,27825,0.92,8489,35940,0.87,14029
35537,0.84,0.77,23479,0.86,8673,21757,0.86,14566
15351,0.9,0.67,6372,0.83,5039,35532,0.84,14868
10079,0.84,0.79,38713,0.94,13547,2062,0.87,6478
6060,0.81,0.66,N/A,N/A,N/A,N/A,N/A,N/A
37751,0.93,0.65,N/A,N/A,N/A,N/A,N/A,N/A
26357,0.84,0.78,N/A,N/A,N/A,N/A,N/A,N/A
26847,0.86,0.6,N/A,N/A,N/A,N/A,N/A,N/A
34450,0.93,0.67,N/A,N/A,N/A,N/A,N/A,N/A
30189,0.87,0.64,N/A,N/A,N/A,N/A,N/A,N/A
3941,0.92,0.63,N/A,N/A,N/A,N/A,N/A,N/A
13277,0.83,0.62,N/A,N/A,N/A,N/A,N/A,N/A
38688,0.92,0.66,N/A,N/A,N/A,N/A,N/A,N/A
15867,0.89,0.61,N/A,N/A,N/A,N/A,N/A,N/A
37156,0.94,0.84,N/A,N/A,N/A,N/A,N/A,N/A
32525,0.9,0.72,N/A,N/A,N/A,N/A,N/A,N/A
8537,0.85,0.81,N/A,N/A,N/A,N/A,N/A,N/A
34712,0.92,0.64,N/A,N/A,N/A,N/A,N/A,N/A
11652,0.85,0.76,N/A,N/A,N/A,N/A,N/A,N/A
3045,0.81,0.64,N/A,N/A,N/A,N/A,N/A,N/A
11800,0.84,0.66,N/A,N/A,N/A,N/A,N/A,N/A
30175,0.91,0.78,N/A,N/A,N/A,N/A,N/A,N/A
11853,0.94,0.84,N/A,N/A,N/A,N/A,N/A,N/A
36668,0.81,0.84,N/A,N/A,N/A,N/A,N/A,N/A
19933,0.88,0.82,N/A,N/A,N/A,N/A,N/A,N/A
22651,0.94,0.67,N/A,N/A,N/A,N/A,N/A,N/A
9205,0.85,0.75,N/A,N/A,N/A,N/A,N/A,N/A
31269,0.93,0.7,N/A,N/A,N/A,N/A,N/A,N/A
32757,0.9,0.73,N/A,N/A,N/A,N/A,N/A,N/A
3219,0.91,0.77,N/A,N/A,N/A,N/A,N/A,N/A
13497,0.84,0.7,N/A,N/A,N/A,N/A,N/A,N/A
7224,0.87,0.73,N/A,N/A,N/A,N/A,N/A,N/A
7566,0.87,0.65,N/A,N/A,N/A,N/A,N/A,N/A
7980,0.86,0.67,N/A,N/A,N/A,N/A,N/A,N/A
37160,0.82,0.61,N/A,N/A,N/A,N/A,N/A,N/A
12188,0.84,0.82,N/A,N/A,N/A,N/A,N/A,N/A
17878,0.89,0.74,N/A,N/A,N/A,N/A,N/A,N/A
27357,0.82,0.61,N/A,N/A,N/A,N/A,N/A,N/A
34272,0.81,0.6,N/A,N/A,N/A,N/A,N/A,N/A
9014,0.89,0.77,N/A,N/A,N/A,N/A,N/A,N/A
8110,0.93,0.62,N/A,N/A,N/A,N/A,N/A,N/A
29090,0.9,0.83,N/A,N/A,N/A,N/A,N/A,N/A
6430,0.94,0.81,N/A,N/A,N/A,N/A,N/A,N/A
26168,0.92,0.64,N/A,N/A,N/A,N/A,N/A,N/A
11196,0.85,0.71,N/A,N/A,N/A,N/A,N/A,N/A
26933,0.94,0.77,N/A,N/A,N/A,N/A,N/A,N/A
18850,0.87,0.62,N/A,N/A,N/A,N/A,N/A,N/A
39483,0.8,0.63,N/A,N/A,N/A,N/A,N/A,N/A
31185,0.81,0.66,N/A,N/A,N/A,N/A,N/A,N/A
6938,0.91,0.79,N/A,N/A,N/A,N/A,N/A,N/A
21453,0.92,0.63,N/A,N/A,N/A,N/A,N/A,N/A
36336,0.84,0.75,N/A,N/A,N/A,N/A,N/A,N/A
30067,0.9,0.81,N/A,N/A,N/A,N/A,N/A,N/A
30776,0.84,0.73,N/A,N/A,N/A,N/A,N/A,N/A
39757,0.89,0.83,N/A,N/A,N/A,N/A,N/A,N/A
30233,0.83,0.64,N/A,N/A,N/A,N/A,N/A,N/A
37887,0.86,0.73,N/A,N/A,N/A,N/A,N/A,N/A
