sup_cap,sup_reli,sup_flex,pla_cap,pla_reli,pla_cost,dc_cap,dc_reli,dc_cost
15232,0.95,0.72,23061,0.9,13582,34985,0.8,9192
33494,0.89,0.75,25009,0.84,10270,20702,0.81,12920
27541,0.87,0.7,33349,0.9,10722,38429,0.83,14327
18830,0.86,0.8,38339,0.85,8006,38837,0.91,7492
21791,0.83,0.84,36071,0.82,10178,18730,0.95,5465
17362,0.85,0.72,N/A,N/A,N/A,6683,0.87,14995
24654,0.85,0.84,N/A,N/A,N/A,7529,0.82,5416
17060,0.9,0.63,N/A,N/A,N/A,N/A,N/A,N/A
32561,0.95,0.85,N/A,N/A,N/A,N/A,N/A,N/A
31292,0.93,0.79,N/A,N/A,N/A,N/A,N/A,N/A
15982,0.93,0.76,N/A,N/A,N/A,N/A,N/A,N/A
31293,0.93,0.66,N/A,N/A,N/A,N/A,N/A,N/A
12323,0.94,0.63,N/A,N/A,N/A,N/A,N/A,N/A
39262,0.92,0.63,N/A,N/A,N/A,N/A,N/A,N/A
19466,0.94,0.62,N/A,N/A,N/A,N/A,N/A,N/A
15907,0.89,0.7,N/A,N/A,N/A,N/A,N/A,N/A
22813,0.81,0.78,N/A,N/A,N/A,N/A,N/A,N/A
12990,0.82,0.81,N/A,N/A,N/A,N/A,N/A,N/A
16037,0.84,0.84,N/A,N/A,N/A,N/A,N/A,N/A
21574,0.89,0.73,N/A,N/A,N/A,N/A,N/A,N/A
25792,0.94,0.82,N/A,N/A,N/A,N/A,N/A,N/A
5675,0.85,0.69,N/A,N/A,N/A,N/A,N/A,N/A
23301,0.83,0.73,N/A,N/A,N/A,N/A,N/A,N/A
8853,0.88,0.78,N/A,N/A,N/A,N/A,N/A,N/A
21442,0.83,0.65,N/A,N/A,N/A,N/A,N/A,N/A
33924,0.85,0.68,N/A,N/A,N/A,N/A,N/A,N/A
8755,0.89,0.78,N/A,N/A,N/A,N/A,N/A,N/A
33846,0.81,0.72,N/A,N/A,N/A,N/A,N/A,N/A
16196,0.86,0.72,N/A,N/A,N/A,N/A,N/A,N/A
4818,0.82,0.79,N/A,N/A,N/A,N/A,N/A,N/A
37826,0.91,0.6,N/A,N/A,N/A,N/A,N/A,N/A
21724,0.93,0.68,N/A,N/A,N/A,N/A,N/A,N/A
29407,0.81,0.76,N/A,N/A,N/A,N/A,N/A,N/A
19064,0.83,0.61,N/A,N/A,N/A,N/A,N/A,N/A
12175,0.84,0.63,N/A,N/A,N/A,N/A,N/A,N/A
12006,0.83,0.84,N/A,N/A,N/A,N/A,N/A,N/A
27934,0.92,0.67,N/A,N/A,N/A,N/A,N/A,N/A
34097,0.93,0.82,N/A,N/A,N/A,N/A,N/A,N/A
10683,0.92,0.84,N/A,N/A,N/A,N/A,N/A,N/A
2715,0.85,0.82,N/A,N/A,N/A,N/A,N/A,N/A
34660,0.9,0.83,N/A,N/A,N/A,N/A,N/A,N/A
17808,0.82,0.72,N/A,N/A,N/A,N/A,N/A,N/A
24678,0.9,0.74,N/A,N/A,N/A,N/A,N/A,N/A
16641,0.93,0.73,N/A,N/A,N/A,N/A,N/A,N/A
21672,0.94,0.83,N/A,N/A,N/A,N/A,N/A,N/A
29118,0.81,0.8,N/A,N/A,N/A,N/A,N/A,N/A
5676,0.93,0.73,N/A,N/A,N/A,N/A,N/A,N/A
7954,0.88,0.76,N/A,N/A,N/A,N/A,N/A,N/A
17885,0.92,0.68,N/A,N/A,N/A,N/A,N/A,N/A
9797,0.92,0.64,N/A,N/A,N/A,N/A,N/A,N/A
18309,0.89,0.62,N/A,N/A,N/A,N/A,N/A,N/A
3496,0.94,0.62,N/A,N/A,N/A,N/A,N/A,N/A
7721,0.88,0.63,N/A,N/A,N/A,N/A,N/A,N/A
8357,0.86,0.73,N/A,N/A,N/A,N/A,N/A,N/A
8226,0.93,0.61,N/A,N/A,N/A,N/A,N/A,N/A
9318,0.93,0.72,N/A,N/A,N/A,N/A,N/A,N/A
9814,0.84,0.74,N/A,N/A,N/A,N/A,N/A,N/A
25575,0.84,0.62,N/A,N/A,N/A,N/A,N/A,N/A
